Timestamp,Sensor1
09:40:35,14.89
09:40:35,14.92
09:40:35,14.80
09:40:36,14.70
09:40:36,14.41
09:40:36,14.04
09:40:36,13.61
09:40:36,13.16
09:40:36,12.71
09:40:36,12.29
09:40:36,11.90
09:40:36,11.56
09:40:36,11.26
09:40:37,11.02
09:40:37,10.82
09:40:37,10.64
09:40:37,10.56
09:40:37,10.41
09:40:37,10.24
09:40:37,10.04
09:40:37,9.78
09:40:37,9.41
09:40:37,8.91
09:40:38,8.24
09:40:38,7.36
09:40:38,6.26
09:40:38,4.90
09:40:38,3.30
09:40:38,2.40
09:40:38,0.44
09:40:38,-1.72
09:40:38,-4.01
09:40:38,-6.38
09:40:39,-8.75
09:40:39,-11.06
09:40:39,-13.25
09:40:39,-15.26
09:40:39,-17.05
09:40:39,-18.57
09:40:39,-19.81
09:40:39,-20.74
09:40:39,-21.09
09:40:39,-21.56
09:40:40,-21.70
09:40:40,-21.53
09:40:40,-21.03
09:40:40,-20.22
09:40:40,-19.12
09:40:40,-17.74
09:40:40,-16.13
09:40:40,-14.32
09:40:40,-12.34
09:40:40,-10.27
09:40:41,-8.14
09:40:41,-6.01
09:40:41,-3.93
09:40:41,-2.93
09:40:41,-1.02
09:40:41,0.74
09:40:41,2.32
09:40:41,3.72
09:40:41,4.92
09:40:41,5.94
09:40:42,6.78
09:40:42,7.48
09:40:42,8.08
09:40:42,8.62
09:40:42,9.13
09:40:42,9.38
09:40:42,9.88
09:40:42,10.41
09:40:42,10.99
09:40:43,11.61
09:40:43,12.28
09:40:43,12.99
09:40:43,13.69
09:40:43,14.36
09:40:43,14.95
09:40:43,15.40
09:40:43,15.55
09:40:43,15.71
09:40:43,15.60
09:40:43,15.21
09:40:44,14.51
09:40:44,13.49
09:40:44,12.15
09:40:44,10.51
09:40:44,8.60
09:40:44,6.46
09:40:44,4.17
09:40:44,1.80
09:40:44,-0.58
09:40:44,-2.90
09:40:45,-5.11
09:40:45,-6.16
09:40:45,-8.14
09:40:45,-9.92
09:40:45,-11.48
09:40:45,-12.78
09:40:45,-13.81
09:40:45,-14.56
09:40:45,-15.02
09:40:46,-15.20
09:40:46,-15.11
09:40:46,-14.76
09:40:46,-14.18
09:40:46,-13.82
09:40:46,-12.96
09:40:46,-11.96
09:40:46,-10.86
09:40:46,-9.69
09:40:46,-8.49
09:40:47,-7.29
09:40:47,-6.13
09:40:47,-5.03
09:40:47,-3.99
09:40:47,-3.04
09:40:47,-2.17
09:40:47,-1.37
09:40:47,-0.63
09:40:47,-0.27
09:40:47,0.42
09:40:48,1.13
09:40:48,1.85
09:40:48,2.62
09:40:48,3.42
09:40:48,4.27
09:40:48,5.15
09:40:48,6.06
09:40:48,6.52
09:40:48,7.43
09:40:48,8.32
09:40:49,9.14
09:40:49,9.88
09:40:49,10.49
09:40:49,10.94
09:40:49,11.20
09:40:49,11.24
09:40:49,11.03
09:40:49,10.52
09:40:49,9.72
09:40:49,9.20
09:40:50,7.94
09:40:50,6.42
09:40:50,4.68
09:40:50,2.78
09:40:50,0.79
09:40:50,-1.21
09:40:50,-3.14
09:40:50,-4.94
09:40:50,-6.55
09:40:50,-7.27
09:40:51,-8.52
09:40:51,-9.50
09:40:51,-10.19
09:40:51,-10.58
09:40:51,-10.68
09:40:51,-10.51
09:40:51,-10.07
09:40:51,-9.39
09:40:51,-8.50
09:40:51,-7.43
09:40:52,-6.22
